"status"	"family"	"pval"	"qval"	"id"	"symbol"	"gene_short_name"	"gene_id"	"num_cells_expressed"	"use_for_ordering"
"ENSMUSG00000026276"	"OK"	"negbinomial.size"	1.29078094672825e-69	4.61067483766461e-68	"ENSMUSG00000026276"	"Sept2"	"Sept2"	"ENSMUSG00000026276"	24785	FALSE
"ENSMUSG00000026335"	"OK"	"negbinomial.size"	2.82811001139979e-56	7.9080454986628e-55	"ENSMUSG00000026335"	"Pam"	"Pam"	"ENSMUSG00000026335"	12230	TRUE
"ENSMUSG00000078193"	"OK"	"negbinomial.size"	2.55212418283858e-52	6.64704584409882e-51	"ENSMUSG00000078193"	"Gm2000"	"Gm2000"	"ENSMUSG00000078193"	7037	FALSE
"ENSMUSG00000038370"	"OK"	"negbinomial.size"	2.19047694183661e-103	1.19289085206661e-101	"ENSMUSG00000038370"	"Pcp4l1"	"Pcp4l1"	"ENSMUSG00000038370"	19264	TRUE
"ENSMUSG00000026547"	"OK"	"negbinomial.size"	1.00813189990737e-47	2.31929901640433e-46	"ENSMUSG00000026547"	"Tagln2"	"Tagln2"	"ENSMUSG00000026547"	23867	TRUE
"ENSMUSG00000026605"	"OK"	"negbinomial.size"	1.330838484367e-42	2.70951756784523e-41	"ENSMUSG00000026605"	"Cenpf"	"Cenpf"	"ENSMUSG00000026605"	10837	TRUE
"ENSMUSG00000026643"	"OK"	"negbinomial.size"	3.56735840204358e-173	4.05559175998751e-171	"ENSMUSG00000026643"	"Nmt2"	"Nmt2"	"ENSMUSG00000026643"	15851	TRUE
"ENSMUSG00000057738"	"OK"	"negbinomial.size"	2.70291631140145e-284	5.76683856850379e-282	"ENSMUSG00000057738"	"Sptan1"	"Sptan1"	"ENSMUSG00000057738"	22905	TRUE
"ENSMUSG00000054766"	"OK"	"negbinomial.size"	1.4163732430849e-75	5.54271689976064e-74	"ENSMUSG00000054766"	"Set"	"Set"	"ENSMUSG00000054766"	27426	TRUE
"ENSMUSG00000038900"	"OK"	"negbinomial.size"	5.4639963929594e-312	1.37260877129585e-309	"ENSMUSG00000038900"	"Rpl12"	"Rpl12"	"ENSMUSG00000038900"	27545	FALSE
"ENSMUSG00000062997"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000062997"	"Rpl35"	"Rpl35"	"ENSMUSG00000062997"	27531	TRUE
"ENSMUSG00000041966"	"OK"	"negbinomial.size"	1.62423252360212e-203	2.23870987213301e-201	"ENSMUSG00000041966"	"Dcaf17"	"Dcaf17"	"ENSMUSG00000041966"	10413	TRUE
"ENSMUSG00000027012"	"OK"	"negbinomial.size"	2.45417574746678e-223	3.78453339275199e-221	"ENSMUSG00000027012"	"Dync1i2"	"Dync1i2"	"ENSMUSG00000027012"	26014	TRUE
"ENSMUSG00000027091"	"OK"	"negbinomial.size"	1.11670224494168e-37	2.0705520791627e-36	"ENSMUSG00000027091"	"Zc3h15"	"Zc3h15"	"ENSMUSG00000027091"	24855	FALSE
"ENSMUSG00000040479"	"OK"	"negbinomial.size"	5.62350955470338e-85	2.47418534786738e-83	"ENSMUSG00000040479"	"Dgkz"	"Dgkz"	"ENSMUSG00000040479"	16847	FALSE
"ENSMUSG00000068735"	"OK"	"negbinomial.size"	1.43759405725792e-255	2.66553898116573e-253	"ENSMUSG00000068735"	"Trp53i11"	"Trp53i11"	"ENSMUSG00000068735"	13839	TRUE
"ENSMUSG00000027168"	"OK"	"negbinomial.size"	4.30543091609695e-71	1.57042357185504e-69	"ENSMUSG00000027168"	"Pax6"	"Pax6"	"ENSMUSG00000027168"	7760	TRUE
"ENSMUSG00000040383"	"OK"	"negbinomial.size"	6.36064027908523e-48	1.46983638496665e-46	"ENSMUSG00000040383"	"Aqr"	"Aqr"	"ENSMUSG00000040383"	12307	FALSE
"ENSMUSG00000027306"	"OK"	"negbinomial.size"	1.07964955915142e-51	2.76117272311712e-50	"ENSMUSG00000027306"	"Nusap1"	"Nusap1"	"ENSMUSG00000027306"	8326	TRUE
"ENSMUSG00000027236"	"OK"	"negbinomial.size"	2.23019417259927e-309	5.51353559337042e-307	"ENSMUSG00000027236"	"Eif3j1"	"Eif3j1"	"ENSMUSG00000027236"	23016	FALSE
"ENSMUSG00000027201"	"OK"	"negbinomial.size"	1.23777682705979e-156	1.17551061472294e-154	"ENSMUSG00000027201"	"Myef2"	"Myef2"	"ENSMUSG00000027201"	19264	TRUE
"ENSMUSG00000034906"	"OK"	"negbinomial.size"	9.91742869767554e-49	2.36545102551756e-47	"ENSMUSG00000034906"	"Ncaph"	"Ncaph"	"ENSMUSG00000034906"	6456	TRUE
"ENSMUSG00000051319"	"OK"	"negbinomial.size"	9.28718778131176e-37	1.67416608442049e-35	"ENSMUSG00000051319"	"1500011K16Rik"	"1500011K16Rik"	"ENSMUSG00000051319"	21206	FALSE
"ENSMUSG00000015932"	"OK"	"negbinomial.size"	1.29365322893062e-69	4.61067483766461e-68	"ENSMUSG00000015932"	"Dstn"	"Dstn"	"ENSMUSG00000015932"	27059	FALSE
"ENSMUSG00000027593"	"OK"	"negbinomial.size"	3.35518432730004e-35	5.74252702172508e-34	"ENSMUSG00000027593"	"Raly"	"Raly"	"ENSMUSG00000027593"	25273	FALSE
"ENSMUSG00000017707"	"OK"	"negbinomial.size"	3.1919827592383e-78	1.29804520822811e-76	"ENSMUSG00000017707"	"Serinc3"	"Serinc3"	"ENSMUSG00000017707"	9633	FALSE
"ENSMUSG00000039041"	"OK"	"negbinomial.size"	7.61329196138348e-79	3.14527910606227e-77	"ENSMUSG00000039041"	"Adrm1"	"Adrm1"	"ENSMUSG00000039041"	18160	FALSE
"ENSMUSG00000039001"	"OK"	"negbinomial.size"	1.45448039777453e-105	8.14875258825116e-104	"ENSMUSG00000039001"	"Rps21"	"Rps21"	"ENSMUSG00000039001"	27573	FALSE
"ENSMUSG00000062393"	"OK"	"negbinomial.size"	5.78246171608417e-52	1.49109008655647e-50	"ENSMUSG00000062393"	"Dgkk"	"Dgkk"	"ENSMUSG00000062393"	9358	TRUE
"ENSMUSG00000000787"	"OK"	"negbinomial.size"	4.18516187473756e-69	1.47474878278365e-67	"ENSMUSG00000000787"	"Ddx3x"	"Ddx3x"	"ENSMUSG00000000787"	21115	FALSE
"ENSMUSG00000031328"	"OK"	"negbinomial.size"	4.84738182854441e-64	1.54392580735336e-62	"ENSMUSG00000031328"	"Flna"	"Flna"	"ENSMUSG00000031328"	7870	FALSE
"ENSMUSG00000008682"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000008682"	"Rpl10"	"Rpl10"	"ENSMUSG00000008682"	27541	TRUE
"ENSMUSG00000035150"	"OK"	"negbinomial.size"	3.56261262094488e-97	1.84344490269822e-95	"ENSMUSG00000035150"	"Eif2s3x"	"Eif2s3x"	"ENSMUSG00000035150"	20186	FALSE
"ENSMUSG00000051159"	"OK"	"negbinomial.size"	1.3447053423974e-73	5.14589329430945e-72	"ENSMUSG00000051159"	"Cited1"	"Cited1"	"ENSMUSG00000051159"	15240	TRUE
"ENSMUSG00000085715"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000085715"	"Tsix"	"Tsix"	"ENSMUSG00000085715"	10719	TRUE
"ENSMUSG00000086503"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000086503"	"Xist"	"Xist"	"ENSMUSG00000086503"	21210	TRUE
"ENSMUSG00000062070"	"OK"	"negbinomial.size"	3.2947450424877e-50	8.17128248992769e-49	"ENSMUSG00000062070"	"Pgk1"	"Pgk1"	"ENSMUSG00000062070"	7973	FALSE
"ENSMUSG00000031246"	"OK"	"negbinomial.size"	4.81487118703318e-35	8.21375889792352e-34	"ENSMUSG00000031246"	"Sh3bgrl"	"Sh3bgrl"	"ENSMUSG00000031246"	21986	FALSE
"ENSMUSG00000079435"	"OK"	"negbinomial.size"	6.14412518962481e-96	3.13753278125923e-94	"ENSMUSG00000079435"	"Rpl36a"	"Rpl36a"	"ENSMUSG00000079435"	27570	FALSE
"ENSMUSG00000071708"	"OK"	"negbinomial.size"	8.5059328943776e-73	3.19999770120606e-71	"ENSMUSG00000071708"	"Sms"	"Sms"	"ENSMUSG00000071708"	23734	TRUE
"ENSMUSG00000049775"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000049775"	"Tmsb4x"	"Tmsb4x"	"ENSMUSG00000049775"	27577	TRUE
"ENSMUSG00000035299"	"OK"	"negbinomial.size"	2.18076737986394e-257	4.14212828553426e-255	"ENSMUSG00000035299"	"Mid1"	"Mid1"	"ENSMUSG00000035299"	5651	TRUE
"ENSMUSG00000095562"	"OK"	"negbinomial.size"	5.88926906040948e-46	1.29738848112981e-44	"ENSMUSG00000095562"	"Gm21887"	"Gm21887"	"ENSMUSG00000095562"	316	TRUE
"ENSMUSG00000027712"	"OK"	"negbinomial.size"	2.83116697229277e-86	1.26710993084655e-84	"ENSMUSG00000027712"	"Anxa5"	"Anxa5"	"ENSMUSG00000027712"	8448	TRUE
"ENSMUSG00000048332"	"OK"	"negbinomial.size"	1.15962114385115e-95	5.90232003773908e-94	"ENSMUSG00000048332"	"Lhfp"	"Lhfp"	"ENSMUSG00000048332"	14619	TRUE
"ENSMUSG00000057777"	"OK"	"negbinomial.size"	2.99479540473946e-128	2.26426885576782e-126	"ENSMUSG00000057777"	"Mab21l2"	"Mab21l2"	"ENSMUSG00000057777"	304	TRUE
"ENSMUSG00000004897"	"OK"	"negbinomial.size"	5.30171457979652e-116	3.37037569715636e-114	"ENSMUSG00000004897"	"Hdgf"	"Hdgf"	"ENSMUSG00000004897"	26608	TRUE
"ENSMUSG00000028044"	"OK"	"negbinomial.size"	9.80348176350241e-95	4.90962149410129e-93	"ENSMUSG00000028044"	"Cks1b"	"Cks1b"	"ENSMUSG00000028044"	21008	TRUE
"ENSMUSG00000041959"	"OK"	"negbinomial.size"	1.51454929898544e-305	3.62909312795356e-303	"ENSMUSG00000041959"	"S100a10"	"S100a10"	"ENSMUSG00000041959"	26255	TRUE
"ENSMUSG00000045934"	"OK"	"negbinomial.size"	3.66040976661695e-53	9.64651135618595e-52	"ENSMUSG00000045934"	"Mtmr11"	"Mtmr11"	"ENSMUSG00000045934"	11330	TRUE
"ENSMUSG00000027852"	"OK"	"negbinomial.size"	2.10855596780226e-44	4.46813050320003e-43	"ENSMUSG00000027852"	"Nras"	"Nras"	"ENSMUSG00000027852"	20140	FALSE
"ENSMUSG00000040724"	"OK"	"negbinomial.size"	1.68250851239519e-93	8.26658362162622e-92	"ENSMUSG00000040724"	"Kcna2"	"Kcna2"	"ENSMUSG00000040724"	14378	TRUE
"ENSMUSG00000033721"	"OK"	"negbinomial.size"	4.99794844754795e-38	9.3786803699469e-37	"ENSMUSG00000033721"	"Vav3"	"Vav3"	"ENSMUSG00000033721"	19503	TRUE
"ENSMUSG00000027968"	"OK"	"negbinomial.size"	3.51035335207091e-139	2.97139964448394e-137	"ENSMUSG00000027968"	"Larp7"	"Larp7"	"ENSMUSG00000027968"	16716	TRUE
"ENSMUSG00000062006"	"OK"	"negbinomial.size"	3.60926442913358e-93	1.75122409606715e-91	"ENSMUSG00000062006"	"Rpl34"	"Rpl34"	"ENSMUSG00000062006"	27576	FALSE
"ENSMUSG00000091512"	"OK"	"negbinomial.size"	1.88449162268698e-77	7.52588641624352e-76	"ENSMUSG00000091512"	"Lamtor3"	"Lamtor3"	"ENSMUSG00000091512"	17367	FALSE
"ENSMUSG00000028266"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000028266"	"Lmo4"	"Lmo4"	"ENSMUSG00000028266"	24283	TRUE
"ENSMUSG00000005034"	"OK"	"negbinomial.size"	8.24047621275159e-38	1.5352322609283e-36	"ENSMUSG00000005034"	"Prkacb"	"Prkacb"	"ENSMUSG00000005034"	12701	TRUE
"ENSMUSG00000028173"	"OK"	"negbinomial.size"	2.17012359056847e-53	5.7777222090776e-52	"ENSMUSG00000028173"	"Wls"	"Wls"	"ENSMUSG00000028173"	9873	TRUE
"ENSMUSG00000028234"	"OK"	"negbinomial.size"	7.77651317587631e-174	8.97179205290915e-172	"ENSMUSG00000028234"	"Rps20"	"Rps20"	"ENSMUSG00000028234"	27568	FALSE
"ENSMUSG00000041261"	"OK"	"negbinomial.size"	3.27943524742282e-52	8.49870282505998e-51	"ENSMUSG00000041261"	"Car8"	"Car8"	"ENSMUSG00000041261"	7666	TRUE
"ENSMUSG00000028452"	"OK"	"negbinomial.size"	4.35570350609871e-200	5.70084723592331e-198	"ENSMUSG00000028452"	"Vcp"	"Vcp"	"ENSMUSG00000028452"	26662	FALSE
"ENSMUSG00000028333"	"OK"	"negbinomial.size"	1.8250158571279e-109	1.06062022293907e-107	"ENSMUSG00000028333"	"Anp32b"	"Anp32b"	"ENSMUSG00000028333"	26647	TRUE
"ENSMUSG00000028556"	"OK"	"negbinomial.size"	1.50069402991331e-70	5.43565337579065e-69	"ENSMUSG00000028556"	"Dock7"	"Dock7"	"ENSMUSG00000028556"	14526	FALSE
"ENSMUSG00000028549"	"OK"	"negbinomial.size"	6.77235189119772e-43	1.3860628213588e-41	"ENSMUSG00000028549"	"Itgb3bp"	"Itgb3bp"	"ENSMUSG00000028549"	9046	FALSE
"ENSMUSG00000091985"	"OK"	"negbinomial.size"	4.96424553919187e-61	1.49551497626525e-59	"ENSMUSG00000091985"	"Gm17354"	"Gm17354"	"ENSMUSG00000091985"	1098	FALSE
"ENSMUSG00000003411"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000003411"	"Rab3b"	"Rab3b"	"ENSMUSG00000003411"	16564	TRUE
"ENSMUSG00000086483"	"OK"	"negbinomial.size"	7.65048224359982e-61	2.28268699126565e-59	"ENSMUSG00000086483"	"8030443G20Rik"	"8030443G20Rik"	"ENSMUSG00000086483"	302	FALSE
"ENSMUSG00000053510"	"OK"	"negbinomial.size"	1.71793146845641e-37	3.15900621265745e-36	"ENSMUSG00000053510"	"Nrd1"	"Nrd1"	"ENSMUSG00000053510"	16511	FALSE
"ENSMUSG00000047675"	"OK"	"negbinomial.size"	4.47232684960952e-119	2.9515462153673e-117	"ENSMUSG00000047675"	"Rps8"	"Rps8"	"ENSMUSG00000047675"	27577	FALSE
"ENSMUSG00000042608"	"OK"	"negbinomial.size"	1.49825743331028e-69	5.32770765383735e-68	"ENSMUSG00000042608"	"Stk40"	"Stk40"	"ENSMUSG00000042608"	12129	TRUE
"ENSMUSG00000028868"	"OK"	"negbinomial.size"	5.18575990016496e-37	9.42452864003142e-36	"ENSMUSG00000028868"	"Wasf2"	"Wasf2"	"ENSMUSG00000028868"	15707	FALSE
"ENSMUSG00000003038"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000003038"	"Hmgn2"	"Hmgn2"	"ENSMUSG00000003038"	22942	TRUE
"ENSMUSG00000037242"	"OK"	"negbinomial.size"	1.96912119208873e-39	3.79567606024529e-38	"ENSMUSG00000037242"	"Clic4"	"Clic4"	"ENSMUSG00000037242"	20371	FALSE
"ENSMUSG00000040945"	"OK"	"negbinomial.size"	5.22122131822744e-48	1.21193028362731e-46	"ENSMUSG00000040945"	"Rcc2"	"Rcc2"	"ENSMUSG00000040945"	15294	FALSE
"ENSMUSG00000040659"	"OK"	"negbinomial.size"	2.1957565603485e-36	3.89509207601684e-35	"ENSMUSG00000040659"	"Efhd2"	"Efhd2"	"ENSMUSG00000040659"	6778	TRUE
"ENSMUSG00000063524"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000063524"	"Eno1"	"Eno1"	"ENSMUSG00000063524"	25820	TRUE
"ENSMUSG00000029063"	"OK"	"negbinomial.size"	1.20670200835745e-47	2.77203300592437e-46	"ENSMUSG00000029063"	"Nadk"	"Nadk"	"ENSMUSG00000029063"	17912	FALSE
"ENSMUSG00000007415"	"OK"	"negbinomial.size"	2.32632914599635e-62	7.13239693875851e-61	"ENSMUSG00000007415"	"Gatad1"	"Gatad1"	"ENSMUSG00000007415"	19977	FALSE
"ENSMUSG00000067367"	"OK"	"negbinomial.size"	2.75383592180406e-92	1.30367764383277e-90	"ENSMUSG00000067367"	"Lyar"	"Lyar"	"ENSMUSG00000067367"	20052	TRUE
"ENSMUSG00000029174"	"OK"	"negbinomial.size"	1.81604534063186e-80	7.62396393001111e-79	"ENSMUSG00000029174"	"Tbc1d1"	"Tbc1d1"	"ENSMUSG00000029174"	15920	TRUE
"ENSMUSG00000029191"	"OK"	"negbinomial.size"	7.63437166881077e-49	1.83779503464803e-47	"ENSMUSG00000029191"	"Rfc1"	"Rfc1"	"ENSMUSG00000029191"	18462	TRUE
"ENSMUSG00000029309"	"OK"	"negbinomial.size"	1.32115023245209e-49	3.23536397333983e-48	"ENSMUSG00000029309"	"Sparcl1"	"Sparcl1"	"ENSMUSG00000029309"	8128	TRUE
"ENSMUSG00000050856"	"OK"	"negbinomial.size"	5.64399895455549e-117	3.61750138753917e-115	"ENSMUSG00000050856"	"Atp5k"	"Atp5k"	"ENSMUSG00000050856"	27475	TRUE
"ENSMUSG00000029614"	"OK"	"negbinomial.size"	4.37506205444932e-206	6.13888211694128e-204	"ENSMUSG00000029614"	"Rpl6"	"Rpl6"	"ENSMUSG00000029614"	27573	FALSE
"ENSMUSG00000049327"	"OK"	"negbinomial.size"	2.04309509911287e-65	6.67111240433606e-64	"ENSMUSG00000049327"	"Setd8"	"Setd8"	"ENSMUSG00000049327"	20303	FALSE
"ENSMUSG00000029730"	"OK"	"negbinomial.size"	1.4954216005887e-46	3.36092228415136e-45	"ENSMUSG00000029730"	"Mcm7"	"Mcm7"	"ENSMUSG00000029730"	15217	TRUE
"ENSMUSG00000029623"	"OK"	"negbinomial.size"	7.89786678116379e-179	9.2488176779418e-177	"ENSMUSG00000029623"	"Pdap1"	"Pdap1"	"ENSMUSG00000029623"	27314	FALSE
"ENSMUSG00000007655"	"OK"	"negbinomial.size"	4.14179235347713e-73	1.56573825013122e-71	"ENSMUSG00000007655"	"Cav1"	"Cav1"	"ENSMUSG00000007655"	4908	TRUE
"ENSMUSG00000051855"	"OK"	"negbinomial.size"	1.93931351347563e-172	2.18875420089732e-170	"ENSMUSG00000051855"	"Mest"	"Mest"	"ENSMUSG00000051855"	24721	TRUE
"ENSMUSG00000029836"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000029836"	"Cbx3"	"Cbx3"	"ENSMUSG00000029836"	26929	TRUE
"ENSMUSG00000036371"	"OK"	"negbinomial.size"	9.79613885912612e-139	8.2029496091876e-137	"ENSMUSG00000036371"	"Serbp1"	"Serbp1"	"ENSMUSG00000036371"	27508	FALSE
"ENSMUSG00000053119"	"OK"	"negbinomial.size"	2.96959699796344e-57	8.36373838034008e-56	"ENSMUSG00000053119"	"Chmp3"	"Chmp3"	"ENSMUSG00000053119"	15509	FALSE
"ENSMUSG00000052337"	"OK"	"negbinomial.size"	1.2767351649225e-36	2.28302528055889e-35	"ENSMUSG00000052337"	"Immt"	"Immt"	"ENSMUSG00000052337"	24623	FALSE
"ENSMUSG00000079523"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000079523"	"Tmsb10"	"Tmsb10"	"ENSMUSG00000079523"	27557	TRUE
"ENSMUSG00000030045"	"OK"	"negbinomial.size"	8.8688848626872e-51	2.22078588000568e-49	"ENSMUSG00000030045"	"Mrpl19"	"Mrpl19"	"ENSMUSG00000030045"	14950	FALSE
"ENSMUSG00000000628"	"OK"	"negbinomial.size"	1.15320447972546e-59	3.35096264397837e-58	"ENSMUSG00000000628"	"Hk2"	"Hk2"	"ENSMUSG00000000628"	4296	TRUE
"ENSMUSG00000045896"	"OK"	"negbinomial.size"	1.75821393507578e-40	3.44888942554223e-39	"ENSMUSG00000045896"	"Paip2b"	"Paip2b"	"ENSMUSG00000045896"	7004	TRUE
"ENSMUSG00000064080"	"OK"	"negbinomial.size"	4.62710531336425e-165	4.80447768370988e-163	"ENSMUSG00000064080"	"Fbln2"	"Fbln2"	"ENSMUSG00000064080"	7524	TRUE
"ENSMUSG00000034203"	"OK"	"negbinomial.size"	2.97749864611383e-44	6.2668299207058e-43	"ENSMUSG00000034203"	"Chchd4"	"Chchd4"	"ENSMUSG00000034203"	19239	FALSE
"ENSMUSG00000030307"	"OK"	"negbinomial.size"	4.03574517187132e-46	8.94121352089555e-45	"ENSMUSG00000030307"	"Slc6a11"	"Slc6a11"	"ENSMUSG00000030307"	9319	TRUE
"ENSMUSG00000038252"	"OK"	"negbinomial.size"	3.01522147829844e-60	8.9112095871913e-59	"ENSMUSG00000038252"	"Ncapd2"	"Ncapd2"	"ENSMUSG00000038252"	8162	TRUE
"ENSMUSG00000030335"	"OK"	"negbinomial.size"	3.05952862691492e-37	5.57987802859483e-36	"ENSMUSG00000030335"	"Mrpl51"	"Mrpl51"	"ENSMUSG00000030335"	24777	FALSE
"ENSMUSG00000030189"	"OK"	"negbinomial.size"	3.86816531448487e-216	5.84919172554387e-214	"ENSMUSG00000030189"	"Ybx3"	"Ybx3"	"ENSMUSG00000030189"	23978	TRUE
"ENSMUSG00000030216"	"OK"	"negbinomial.size"	8.81963239580493e-84	3.84778080013058e-82	"ENSMUSG00000030216"	"Wbp11"	"Wbp11"	"ENSMUSG00000030216"	19515	FALSE
"ENSMUSG00000035632"	"OK"	"negbinomial.size"	1.28372996366777e-62	3.96708217938997e-61	"ENSMUSG00000035632"	"Cnot3"	"Cnot3"	"ENSMUSG00000035632"	13908	FALSE
"ENSMUSG00000064179"	"OK"	"negbinomial.size"	3.14626642764981e-52	8.18081796504938e-51	"ENSMUSG00000064179"	"Tnnt1"	"Tnnt1"	"ENSMUSG00000064179"	1755	TRUE
"ENSMUSG00000060860"	"OK"	"negbinomial.size"	8.0503190448839e-93	3.85796058843283e-91	"ENSMUSG00000060860"	"Ube2s"	"Ube2s"	"ENSMUSG00000060860"	27062	TRUE
"ENSMUSG00000005566"	"OK"	"negbinomial.size"	2.92007260435882e-36	5.16233039873877e-35	"ENSMUSG00000005566"	"Trim28"	"Trim28"	"ENSMUSG00000005566"	21541	FALSE
"ENSMUSG00000005575"	"OK"	"negbinomial.size"	1.58668513993368e-65	5.21363313385382e-64	"ENSMUSG00000005575"	"Ube2m"	"Ube2m"	"ENSMUSG00000005575"	24859	FALSE
"ENSMUSG00000056394"	"OK"	"negbinomial.size"	2.91186739942007e-37	5.31680360445107e-36	"ENSMUSG00000056394"	"Lig1"	"Lig1"	"ENSMUSG00000056394"	13836	TRUE
"ENSMUSG00000044709"	"OK"	"negbinomial.size"	8.7938868834693e-36	1.52862486841556e-34	"ENSMUSG00000044709"	"Gemin7"	"Gemin7"	"ENSMUSG00000044709"	19290	FALSE
"ENSMUSG00000091955"	"OK"	"negbinomial.size"	6.45830193384958e-131	5.00438072734862e-129	"ENSMUSG00000091955"	"Gm9844"	"Gm9844"	"ENSMUSG00000091955"	5344	FALSE
"ENSMUSG00000030796"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000030796"	"Tead2"	"Tead2"	"ENSMUSG00000030796"	13152	TRUE
"ENSMUSG00000052512"	"OK"	"negbinomial.size"	1.64972760944043e-48	3.89901479772908e-47	"ENSMUSG00000052512"	"Nav2"	"Nav2"	"ENSMUSG00000052512"	21777	TRUE
"ENSMUSG00000063297"	"OK"	"negbinomial.size"	2.48240067052925e-44	5.24605026370326e-43	"ENSMUSG00000063297"	"Luzp2"	"Luzp2"	"ENSMUSG00000063297"	1534	TRUE
"ENSMUSG00000033585"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000033585"	"Ndn"	"Ndn"	"ENSMUSG00000033585"	15216	TRUE
"ENSMUSG00000070526"	"OK"	"negbinomial.size"	1.08471785293186e-62	3.35874364998284e-61	"ENSMUSG00000070526"	"Peg12"	"Peg12"	"ENSMUSG00000070526"	10091	TRUE
"ENSMUSG00000038943"	"OK"	"negbinomial.size"	3.38722483820589e-53	8.94169946695876e-52	"ENSMUSG00000038943"	"Prc1"	"Prc1"	"ENSMUSG00000038943"	9414	TRUE
"ENSMUSG00000032737"	"OK"	"negbinomial.size"	4.86033582560996e-35	8.28224622361873e-34	"ENSMUSG00000032737"	"Inppl1"	"Inppl1"	"ENSMUSG00000032737"	5459	FALSE
"ENSMUSG00000005610"	"OK"	"negbinomial.size"	7.00611521039591e-61	2.09443847220569e-59	"ENSMUSG00000005610"	"Eif4g2"	"Eif4g2"	"ENSMUSG00000005610"	27278	FALSE
"ENSMUSG00000055320"	"OK"	"negbinomial.size"	4.50596991662866e-45	9.76084582079157e-44	"ENSMUSG00000055320"	"Tead1"	"Tead1"	"ENSMUSG00000055320"	12913	FALSE
"ENSMUSG00000030663"	"OK"	"negbinomial.size"	1.866270142923e-180	2.23593519046352e-178	"ENSMUSG00000030663"	"1110004F10Rik"	"1110004F10Rik"	"ENSMUSG00000030663"	26491	FALSE
"ENSMUSG00000008683"	"OK"	"negbinomial.size"	1.02862551816562e-113	6.33234879265991e-112	"ENSMUSG00000008683"	"Rps15a"	"Rps15a"	"ENSMUSG00000008683"	27572	FALSE
"ENSMUSG00000052707"	"OK"	"negbinomial.size"	1.31833360322302e-169	1.44598914578863e-167	"ENSMUSG00000052707"	"Tnrc6a"	"Tnrc6a"	"ENSMUSG00000052707"	21086	FALSE
"ENSMUSG00000047721"	"OK"	"negbinomial.size"	6.33297942428838e-53	1.6661512590083e-51	"ENSMUSG00000047721"	"Bola2"	"Bola2"	"ENSMUSG00000047721"	26763	FALSE
