"status"	"family"	"pval"	"qval"	"id"	"symbol"	"gene_short_name"	"gene_id"	"num_cells_expressed"	"use_for_ordering"
"ENSMUSG00000026356"	"OK"	"negbinomial.size"	1.81937399500522e-46	4.08310518331503e-45	"ENSMUSG00000026356"	"Dars"	"Dars"	"ENSMUSG00000026356"	16678	FALSE
"ENSMUSG00000015829"	"OK"	"negbinomial.size"	9.08209280789875e-49	2.1695336730525e-47	"ENSMUSG00000015829"	"Tnr"	"Tnr"	"ENSMUSG00000015829"	2832	TRUE
"ENSMUSG00000026701"	"OK"	"negbinomial.size"	3.61852046001006e-46	8.05120802352238e-45	"ENSMUSG00000026701"	"Prdx6"	"Prdx6"	"ENSMUSG00000026701"	25574	TRUE
"ENSMUSG00000026576"	"OK"	"negbinomial.size"	4.55835113136804e-93	2.20485462332476e-91	"ENSMUSG00000026576"	"Atp1b1"	"Atp1b1"	"ENSMUSG00000026576"	19410	TRUE
"ENSMUSG00000013593"	"OK"	"negbinomial.size"	7.14512514620312e-88	3.26349924199747e-86	"ENSMUSG00000013593"	"Ndufs2"	"Ndufs2"	"ENSMUSG00000013593"	26306	FALSE
"ENSMUSG00000007097"	"OK"	"negbinomial.size"	7.11918891443122e-127	5.25504110626854e-125	"ENSMUSG00000007097"	"Atp1a2"	"Atp1a2"	"ENSMUSG00000007097"	15429	TRUE
"ENSMUSG00000044708"	"OK"	"negbinomial.size"	3.95548359404358e-48	9.26415894394419e-47	"ENSMUSG00000044708"	"Kcnj10"	"Kcnj10"	"ENSMUSG00000044708"	2296	TRUE
"ENSMUSG00000026526"	"OK"	"negbinomial.size"	7.30789694656652e-58	2.07323305906691e-56	"ENSMUSG00000026526"	"Fh1"	"Fh1"	"ENSMUSG00000026526"	20158	FALSE
"ENSMUSG00000060743"	"OK"	"negbinomial.size"	8.07174267878611e-48	1.85972473701322e-46	"ENSMUSG00000060743"	"H3f3a"	"H3f3a"	"ENSMUSG00000060743"	27527	FALSE
"ENSMUSG00000025781"	"OK"	"negbinomial.size"	2.66050633924956e-48	6.27839185360787e-47	"ENSMUSG00000025781"	"Atp5c1"	"Atp5c1"	"ENSMUSG00000025781"	27487	FALSE
"ENSMUSG00000026727"	"OK"	"negbinomial.size"	3.66612349054657e-51	9.25443652597453e-50	"ENSMUSG00000026727"	"Rsu1"	"Rsu1"	"ENSMUSG00000026727"	20479	FALSE
"ENSMUSG00000051154"	"OK"	"negbinomial.size"	1.43111295708177e-96	7.38065705514853e-95	"ENSMUSG00000051154"	"Commd3"	"Commd3"	"ENSMUSG00000051154"	24950	FALSE
"ENSMUSG00000036752"	"OK"	"negbinomial.size"	5.05750164129183e-51	1.27049335585678e-49	"ENSMUSG00000036752"	"Tubb4b"	"Tubb4b"	"ENSMUSG00000036752"	22784	TRUE
"ENSMUSG00000015090"	"OK"	"negbinomial.size"	1.29508043578729e-63	4.07492480553274e-62	"ENSMUSG00000015090"	"Ptgds"	"Ptgds"	"ENSMUSG00000015090"	19923	TRUE
"ENSMUSG00000036504"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000036504"	"Phpt1"	"Phpt1"	"ENSMUSG00000036504"	23714	FALSE
"ENSMUSG00000036186"	"OK"	"negbinomial.size"	7.75155709386468e-40	1.50536785208158e-38	"ENSMUSG00000036186"	"Fam69b"	"Fam69b"	"ENSMUSG00000036186"	15957	TRUE
"ENSMUSG00000044627"	"OK"	"negbinomial.size"	1.34976124290819e-64	4.3705886399782e-63	"ENSMUSG00000044627"	"Swi5"	"Swi5"	"ENSMUSG00000044627"	27275	FALSE
"ENSMUSG00000026817"	"OK"	"negbinomial.size"	5.23832706949913e-95	2.65755518265306e-93	"ENSMUSG00000026817"	"Ak1"	"Ak1"	"ENSMUSG00000026817"	17146	TRUE
"ENSMUSG00000026864"	"OK"	"negbinomial.size"	7.29419014626603e-167	7.78130215945845e-165	"ENSMUSG00000026864"	"Hspa5"	"Hspa5"	"ENSMUSG00000026864"	26163	TRUE
"ENSMUSG00000026878"	"OK"	"negbinomial.size"	2.77980577007637e-67	9.53644820901751e-66	"ENSMUSG00000026878"	"Rab14"	"Rab14"	"ENSMUSG00000026878"	26185	FALSE
"ENSMUSG00000026750"	"OK"	"negbinomial.size"	4.10355779966426e-101	2.19632002507804e-99	"ENSMUSG00000026750"	"Psmb7"	"Psmb7"	"ENSMUSG00000026750"	26730	FALSE
"ENSMUSG00000049252"	"OK"	"negbinomial.size"	3.75460510171906e-52	9.69783987715993e-51	"ENSMUSG00000049252"	"Lrp1b"	"Lrp1b"	"ENSMUSG00000049252"	9073	TRUE
"ENSMUSG00000060703"	"OK"	"negbinomial.size"	1.54706986507771e-65	5.10500278571723e-64	"ENSMUSG00000060703"	"Cd302"	"Cd302"	"ENSMUSG00000060703"	7701	FALSE
"ENSMUSG00000026914"	"OK"	"negbinomial.size"	6.59866399440564e-73	2.48847921822925e-71	"ENSMUSG00000026914"	"Psmd14"	"Psmd14"	"ENSMUSG00000026914"	24819	FALSE
"ENSMUSG00000068882"	"OK"	"negbinomial.size"	1.34084932248772e-35	2.31783886767439e-34	"ENSMUSG00000068882"	"Ssb"	"Ssb"	"ENSMUSG00000068882"	26517	FALSE
"ENSMUSG00000027282"	"OK"	"negbinomial.size"	6.84216530481074e-38	1.2793124204373e-36	"ENSMUSG00000027282"	"Mtch2"	"Mtch2"	"ENSMUSG00000027282"	26716	FALSE
"ENSMUSG00000005510"	"OK"	"negbinomial.size"	3.90293554990651e-82	1.67460664434694e-80	"ENSMUSG00000005510"	"Ndufs3"	"Ndufs3"	"ENSMUSG00000005510"	26191	FALSE
"ENSMUSG00000027195"	"OK"	"negbinomial.size"	3.34644314453928e-107	1.9091887170769e-105	"ENSMUSG00000027195"	"Hsd17b12"	"Hsd17b12"	"ENSMUSG00000027195"	26223	FALSE
"ENSMUSG00000055943"	"OK"	"negbinomial.size"	1.27221477806388e-45	2.77906664352663e-44	"ENSMUSG00000055943"	"Emc7"	"Emc7"	"ENSMUSG00000055943"	22969	FALSE
"ENSMUSG00000023236"	"OK"	"negbinomial.size"	1.31617076008965e-83	5.7260780973174e-82	"ENSMUSG00000023236"	"Scg5"	"Scg5"	"ENSMUSG00000023236"	2608	TRUE
"ENSMUSG00000000308"	"OK"	"negbinomial.size"	5.45502119523961e-54	1.46486129510098e-52	"ENSMUSG00000000308"	"Ckmt1"	"Ckmt1"	"ENSMUSG00000000308"	1747	TRUE
"ENSMUSG00000027248"	"OK"	"negbinomial.size"	5.81584153215829e-131	4.52908659316827e-129	"ENSMUSG00000027248"	"Pdia3"	"Pdia3"	"ENSMUSG00000027248"	25356	TRUE
"ENSMUSG00000027245"	"OK"	"negbinomial.size"	1.43493419167107e-81	6.10631148504834e-80	"ENSMUSG00000027245"	"Hypk"	"Hypk"	"ENSMUSG00000027245"	22383	FALSE
"ENSMUSG00000060802"	"OK"	"negbinomial.size"	1.19070791623574e-66	4.03158169464602e-65	"ENSMUSG00000060802"	"B2m"	"B2m"	"ENSMUSG00000060802"	21510	FALSE
"ENSMUSG00000027199"	"OK"	"negbinomial.size"	4.48047303612415e-166	4.71509240119146e-164	"ENSMUSG00000027199"	"Gatm"	"Gatm"	"ENSMUSG00000027199"	24692	TRUE
"ENSMUSG00000079056"	"OK"	"negbinomial.size"	3.06460531751307e-111	1.82180258855977e-109	"ENSMUSG00000079056"	"Kcnip3"	"Kcnip3"	"ENSMUSG00000079056"	13290	TRUE
"ENSMUSG00000027333"	"OK"	"negbinomial.size"	5.52590183328841e-36	9.67032820825472e-35	"ENSMUSG00000027333"	"Smox"	"Smox"	"ENSMUSG00000027333"	11369	FALSE
"ENSMUSG00000079037"	"OK"	"negbinomial.size"	1.20386866423393e-55	3.32451319954671e-54	"ENSMUSG00000079037"	"Prnp"	"Prnp"	"ENSMUSG00000079037"	16783	TRUE
"ENSMUSG00000027447"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000027447"	"Cst3"	"Cst3"	"ENSMUSG00000027447"	27242	TRUE
"ENSMUSG00000074698"	"OK"	"negbinomial.size"	8.08177856939308e-45	1.73876559565073e-43	"ENSMUSG00000074698"	"Csnk2a1"	"Csnk2a1"	"ENSMUSG00000074698"	23446	FALSE
"ENSMUSG00000047459"	"OK"	"negbinomial.size"	3.85880428700388e-38	7.28495476001035e-37	"ENSMUSG00000047459"	"Dynlrb1"	"Dynlrb1"	"ENSMUSG00000047459"	27271	FALSE
"ENSMUSG00000005881"	"OK"	"negbinomial.size"	1.08683040822017e-56	3.04997902847371e-55	"ENSMUSG00000005881"	"Ergic3"	"Ergic3"	"ENSMUSG00000005881"	22529	FALSE
"ENSMUSG00000052033"	"OK"	"negbinomial.size"	2.08216473400227e-40	4.07920952604847e-39	"ENSMUSG00000052033"	"Pfdn4"	"Pfdn4"	"ENSMUSG00000052033"	24696	FALSE
"ENSMUSG00000027560"	"OK"	"negbinomial.size"	1.4275260293983e-44	3.037393156814e-43	"ENSMUSG00000027560"	"Dok5"	"Dok5"	"ENSMUSG00000027560"	3142	FALSE
"ENSMUSG00000027581"	"OK"	"negbinomial.size"	5.29355352848645e-134	4.22805621570136e-132	"ENSMUSG00000027581"	"Stmn3"	"Stmn3"	"ENSMUSG00000027581"	19522	TRUE
"ENSMUSG00000039278"	"OK"	"negbinomial.size"	3.88113236305583e-253	7.02891122727844e-251	"ENSMUSG00000039278"	"Pcsk1n"	"Pcsk1n"	"ENSMUSG00000039278"	17025	TRUE
"ENSMUSG00000031168"	"OK"	"negbinomial.size"	8.96170679753373e-59	2.57525061571195e-57	"ENSMUSG00000031168"	"Ebp"	"Ebp"	"ENSMUSG00000031168"	12405	TRUE
"ENSMUSG00000031176"	"OK"	"negbinomial.size"	2.22981353716922e-53	5.91641326088766e-52	"ENSMUSG00000031176"	"Dynlt3"	"Dynlt3"	"ENSMUSG00000031176"	19107	FALSE
"ENSMUSG00000058254"	"OK"	"negbinomial.size"	7.77331804450429e-68	2.69642379828851e-66	"ENSMUSG00000058254"	"Tspan7"	"Tspan7"	"ENSMUSG00000058254"	16703	TRUE
"ENSMUSG00000031007"	"OK"	"negbinomial.size"	2.70929644058245e-135	2.18638818974465e-133	"ENSMUSG00000031007"	"Atp6ap2"	"Atp6ap2"	"ENSMUSG00000031007"	17638	FALSE
"ENSMUSG00000031059"	"OK"	"negbinomial.size"	9.15679635594367e-108	5.2432758545523e-106	"ENSMUSG00000031059"	"Ndufb11"	"Ndufb11"	"ENSMUSG00000031059"	27207	FALSE
"ENSMUSG00000016319"	"OK"	"negbinomial.size"	3.22698218192508e-205	4.48752209673957e-203	"ENSMUSG00000016319"	"Slc25a5"	"Slc25a5"	"ENSMUSG00000016319"	27562	FALSE
"ENSMUSG00000079641"	"OK"	"negbinomial.size"	5.08247870304833e-64	1.61550215918322e-62	"ENSMUSG00000079641"	"Rpl39"	"Rpl39"	"ENSMUSG00000079641"	27577	FALSE
"ENSMUSG00000016427"	"OK"	"negbinomial.size"	5.79413184283397e-62	1.76257037992459e-60	"ENSMUSG00000016427"	"Ndufa1"	"Ndufa1"	"ENSMUSG00000016427"	25509	FALSE
"ENSMUSG00000048970"	"OK"	"negbinomial.size"	4.88217259170084e-49	1.17891221884869e-47	"ENSMUSG00000048970"	"C1galt1c1"	"C1galt1c1"	"ENSMUSG00000048970"	7839	FALSE
"ENSMUSG00000001986"	"OK"	"negbinomial.size"	4.27959766012514e-43	8.78191482957168e-42	"ENSMUSG00000001986"	"Gria3"	"Gria3"	"ENSMUSG00000001986"	6236	TRUE
"ENSMUSG00000031104"	"OK"	"negbinomial.size"	4.11498090826761e-64	1.31333663209566e-62	"ENSMUSG00000031104"	"Rab33a"	"Rab33a"	"ENSMUSG00000031104"	3153	TRUE
"ENSMUSG00000067925"	"OK"	"negbinomial.size"	1.37881473056868e-37	2.54745426199374e-36	"ENSMUSG00000067925"	"Cxx1a"	"Cxx1a"	"ENSMUSG00000067925"	18003	FALSE
"ENSMUSG00000002015"	"OK"	"negbinomial.size"	3.28024687052105e-58	9.37428348777346e-57	"ENSMUSG00000002015"	"Bcap31"	"Bcap31"	"ENSMUSG00000002015"	21316	FALSE
"ENSMUSG00000002010"	"OK"	"negbinomial.size"	1.68239760117155e-35	2.89859984936359e-34	"ENSMUSG00000002010"	"Idh3g"	"Idh3g"	"ENSMUSG00000002010"	23267	FALSE
"ENSMUSG00000019087"	"OK"	"negbinomial.size"	1.68412046499954e-73	6.4132460250288e-72	"ENSMUSG00000019087"	"Atp6ap1"	"Atp6ap1"	"ENSMUSG00000019087"	19930	FALSE
"ENSMUSG00000031197"	"OK"	"negbinomial.size"	4.68996103287776e-49	1.13602088782381e-47	"ENSMUSG00000031197"	"Vbp1"	"Vbp1"	"ENSMUSG00000031197"	23438	TRUE
"ENSMUSG00000025151"	"OK"	"negbinomial.size"	1.59467567173236e-47	3.65251082165169e-46	"ENSMUSG00000025151"	"Maged1"	"Maged1"	"ENSMUSG00000025151"	26730	TRUE
"ENSMUSG00000034755"	"OK"	"negbinomial.size"	3.79986195071972e-68	1.32400111593869e-66	"ENSMUSG00000034755"	"Pcdh11x"	"Pcdh11x"	"ENSMUSG00000034755"	12058	TRUE
"ENSMUSG00000067377"	"OK"	"negbinomial.size"	1.94154015282395e-61	5.88316884829437e-60	"ENSMUSG00000067377"	"Tspan6"	"Tspan6"	"ENSMUSG00000067377"	20805	FALSE
"ENSMUSG00000045427"	"OK"	"negbinomial.size"	1.82413829449483e-36	3.2469661642008e-35	"ENSMUSG00000045427"	"Hnrnph2"	"Hnrnph2"	"ENSMUSG00000045427"	17991	FALSE
"ENSMUSG00000048040"	"OK"	"negbinomial.size"	2.8769441960132e-104	1.58895056215977e-102	"ENSMUSG00000048040"	"Arxes2"	"Arxes2"	"ENSMUSG00000048040"	20020	TRUE
"ENSMUSG00000048355"	"OK"	"negbinomial.size"	1.38659428497419e-103	7.57761613630632e-102	"ENSMUSG00000048355"	"Arxes1"	"Arxes1"	"ENSMUSG00000048355"	20064	TRUE
"ENSMUSG00000051579"	"OK"	"negbinomial.size"	7.33486139524236e-46	1.60902065113943e-44	"ENSMUSG00000051579"	"Tceal8"	"Tceal8"	"ENSMUSG00000051579"	24816	TRUE
"ENSMUSG00000046432"	"OK"	"negbinomial.size"	2.71936598287689e-111	1.62276341698496e-109	"ENSMUSG00000046432"	"Ngfrap1"	"Ngfrap1"	"ENSMUSG00000046432"	26259	TRUE
"ENSMUSG00000025268"	"OK"	"negbinomial.size"	2.56216235559636e-53	6.78668004904989e-52	"ENSMUSG00000025268"	"Maged2"	"Maged2"	"ENSMUSG00000025268"	15086	TRUE
"ENSMUSG00000047238"	"OK"	"negbinomial.size"	1.61949109117939e-115	1.02119731761616e-113	"ENSMUSG00000047238"	"Mageh1"	"Mageh1"	"ENSMUSG00000047238"	24172	TRUE
"ENSMUSG00000031342"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000031342"	"Gpm6b"	"Gpm6b"	"ENSMUSG00000031342"	27350	TRUE
"ENSMUSG00000079317"	"OK"	"negbinomial.size"	2.43095586662002e-69	8.60503127786518e-68	"ENSMUSG00000079317"	"Trappc2"	"Trappc2"	"ENSMUSG00000079317"	14510	FALSE
"ENSMUSG00000079316"	"OK"	"negbinomial.size"	2.69231737356142e-43	5.53934519064982e-42	"ENSMUSG00000079316"	"Rab9"	"Rab9"	"ENSMUSG00000079316"	19427	FALSE
"ENSMUSG00000027533"	"OK"	"negbinomial.size"	8.98487558142298e-158	8.58524154482595e-156	"ENSMUSG00000027533"	"Fabp5"	"Fabp5"	"ENSMUSG00000027533"	27451	TRUE
"ENSMUSG00000039795"	"OK"	"negbinomial.size"	1.23153539087741e-63	3.88282666253354e-62	"ENSMUSG00000039795"	"Zfand1"	"Zfand1"	"ENSMUSG00000039795"	10622	FALSE
"ENSMUSG00000027559"	"OK"	"negbinomial.size"	9.61536161815981e-151	8.60685386223212e-149	"ENSMUSG00000027559"	"Car3"	"Car3"	"ENSMUSG00000027559"	10640	TRUE
"ENSMUSG00000027562"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000027562"	"Car2"	"Car2"	"ENSMUSG00000027562"	22094	TRUE
"ENSMUSG00000098008"	"OK"	"negbinomial.size"	4.6208037529442e-36	8.10461919505698e-35	"ENSMUSG00000098008"	"A930001A20Rik"	"A930001A20Rik"	"ENSMUSG00000098008"	536	FALSE
"ENSMUSG00000039221"	"OK"	"negbinomial.size"	1.63506321244016e-47	3.73951681846631e-46	"ENSMUSG00000039221"	"Rpl22l1"	"Rpl22l1"	"ENSMUSG00000039221"	27530	TRUE
"ENSMUSG00000027706"	"OK"	"negbinomial.size"	2.78450650046033e-72	1.03752843886769e-70	"ENSMUSG00000027706"	"Sec62"	"Sec62"	"ENSMUSG00000027706"	25043	FALSE
"ENSMUSG00000074637"	"OK"	"negbinomial.size"	5.24156574578144e-82	2.24278534314686e-80	"ENSMUSG00000074637"	"Sox2"	"Sox2"	"ENSMUSG00000074637"	26369	TRUE
"ENSMUSG00000027800"	"OK"	"negbinomial.size"	5.59794765224097e-43	1.14721098267965e-41	"ENSMUSG00000027800"	"Tm4sf1"	"Tm4sf1"	"ENSMUSG00000027800"	1415	TRUE
"ENSMUSG00000027805"	"OK"	"negbinomial.size"	6.12764875303761e-93	2.94562127557287e-91	"ENSMUSG00000027805"	"Pfn2"	"Pfn2"	"ENSMUSG00000027805"	25900	TRUE
"ENSMUSG00000027835"	"OK"	"negbinomial.size"	6.43279562521729e-60	1.87975219254708e-58	"ENSMUSG00000027835"	"Pdcd10"	"Pdcd10"	"ENSMUSG00000027835"	21203	FALSE
"ENSMUSG00000033981"	"OK"	"negbinomial.size"	6.7179740474759e-138	5.53610824282737e-136	"ENSMUSG00000033981"	"Gria2"	"Gria2"	"ENSMUSG00000033981"	23357	TRUE
"ENSMUSG00000028081"	"OK"	"negbinomial.size"	6.51644781145745e-37	1.18015900771453e-35	"ENSMUSG00000028081"	"Rps3a1"	"Rps3a1"	"ENSMUSG00000028081"	27573	FALSE
"ENSMUSG00000001416"	"OK"	"negbinomial.size"	1.23984587160677e-50	3.09464734780055e-49	"ENSMUSG00000001416"	"Cct3"	"Cct3"	"ENSMUSG00000001416"	26566	FALSE
"ENSMUSG00000001418"	"OK"	"negbinomial.size"	2.58000257721891e-86	1.16137399249088e-84	"ENSMUSG00000001418"	"Glmp"	"Glmp"	"ENSMUSG00000001418"	15526	FALSE
"ENSMUSG00000028062"	"OK"	"negbinomial.size"	7.89929769902974e-39	1.50958971364894e-37	"ENSMUSG00000028062"	"Lamtor2"	"Lamtor2"	"ENSMUSG00000028062"	24658	FALSE
"ENSMUSG00000041355"	"OK"	"negbinomial.size"	1.2684130767209e-91	5.96843917520486e-90	"ENSMUSG00000041355"	"Ssr2"	"Ssr2"	"ENSMUSG00000041355"	25709	FALSE
"ENSMUSG00000059743"	"OK"	"negbinomial.size"	0	0	"ENSMUSG00000059743"	"Fdps"	"Fdps"	"ENSMUSG00000059743"	25255	TRUE
"ENSMUSG00000044080"	"OK"	"negbinomial.size"	9.8274866707886e-36	1.70448891868076e-34	"ENSMUSG00000044080"	"S100a1"	"S100a1"	"ENSMUSG00000044080"	6151	TRUE
"ENSMUSG00000001025"	"OK"	"negbinomial.size"	2.68336694168292e-49	6.53022501823618e-48	"ENSMUSG00000001025"	"S100a6"	"S100a6"	"ENSMUSG00000001025"	5675	TRUE
"ENSMUSG00000027907"	"OK"	"negbinomial.size"	7.18979646426717e-56	1.98900674832968e-54	"ENSMUSG00000027907"	"S100a11"	"S100a11"	"ENSMUSG00000027907"	22326	TRUE
"ENSMUSG00000005779"	"OK"	"negbinomial.size"	1.02115486195395e-50	2.55288715488488e-49	"ENSMUSG00000005779"	"Psmb4"	"Psmb4"	"ENSMUSG00000005779"	26480	FALSE
"ENSMUSG00000005625"	"OK"	"negbinomial.size"	2.15133581685513e-44	4.55258904178243e-43	"ENSMUSG00000005625"	"Psmd4"	"Psmd4"	"ENSMUSG00000005625"	25718	FALSE
"ENSMUSG00000053398"	"OK"	"negbinomial.size"	4.64014167006764e-110	2.72717760420013e-108	"ENSMUSG00000053398"	"Phgdh"	"Phgdh"	"ENSMUSG00000053398"	25241	TRUE
"ENSMUSG00000000563"	"OK"	"negbinomial.size"	2.13986509256301e-118	1.39449367433761e-116	"ENSMUSG00000000563"	"Atp5f1"	"Atp5f1"	"ENSMUSG00000000563"	27472	FALSE
"ENSMUSG00000004032"	"OK"	"negbinomial.size"	9.92704148994624e-95	4.9555663848049e-93	"ENSMUSG00000004032"	"Gstm5"	"Gstm5"	"ENSMUSG00000004032"	24023	FALSE
"ENSMUSG00000058135"	"OK"	"negbinomial.size"	6.47756182236466e-170	7.15517910520068e-168	"ENSMUSG00000058135"	"Gstm1"	"Gstm1"	"ENSMUSG00000058135"	20026	TRUE
"ENSMUSG00000053931"	"OK"	"negbinomial.size"	1.39011616946156e-38	2.65006846259042e-37	"ENSMUSG00000053931"	"Cnn3"	"Cnn3"	"ENSMUSG00000053931"	25934	FALSE
"ENSMUSG00000028128"	"OK"	"negbinomial.size"	6.32860704266945e-42	1.2702068903296e-40	"ENSMUSG00000028128"	"F3"	"F3"	"ENSMUSG00000028128"	3934	TRUE
"ENSMUSG00000044528"	"OK"	"negbinomial.size"	1.08293618695075e-37	2.01033743882693e-36	"ENSMUSG00000044528"	"Tram1l1"	"Tram1l1"	"ENSMUSG00000044528"	7262	FALSE
"ENSMUSG00000028032"	"OK"	"negbinomial.size"	1.3315036623503e-37	2.46589411903757e-36	"ENSMUSG00000028032"	"Papss1"	"Papss1"	"ENSMUSG00000028032"	16384	FALSE
"ENSMUSG00000028138"	"OK"	"negbinomial.size"	8.12343053367629e-72	3.01243882290496e-70	"ENSMUSG00000028138"	"Adh5"	"Adh5"	"ENSMUSG00000028138"	22467	FALSE
"ENSMUSG00000028156"	"OK"	"negbinomial.size"	1.42511493987541e-37	2.62987739200943e-36	"ENSMUSG00000028156"	"Eif4e"	"Eif4e"	"ENSMUSG00000028156"	25745	FALSE
"ENSMUSG00000037072"	"OK"	"negbinomial.size"	1.40534855757084e-111	8.51684972146533e-110	"ENSMUSG00000037072"	"Sep15"	"Sep15"	"ENSMUSG00000037072"	27209	FALSE
"ENSMUSG00000068523"	"OK"	"negbinomial.size"	2.63926085751074e-92	1.25324658096737e-90	"ENSMUSG00000068523"	"Gng5"	"Gng5"	"ENSMUSG00000068523"	27443	FALSE
"ENSMUSG00000039037"	"OK"	"negbinomial.size"	1.38203492529523e-49	3.37915132833175e-48	"ENSMUSG00000039037"	"St6galnac5"	"St6galnac5"	"ENSMUSG00000039037"	6625	TRUE
"ENSMUSG00000068240"	"OK"	"negbinomial.size"	1.68466478160552e-92	8.02405320290705e-91	"ENSMUSG00000068240"	"Gm11808"	"Gm11808"	"ENSMUSG00000068240"	16520	FALSE
"ENSMUSG00000028249"	"OK"	"negbinomial.size"	9.88215412812941e-52	2.53148931818447e-50	"ENSMUSG00000028249"	"Sdcbp"	"Sdcbp"	"ENSMUSG00000028249"	20012	FALSE
"ENSMUSG00000028226"	"OK"	"negbinomial.size"	1.37375190874154e-85	6.09577948109673e-84	"ENSMUSG00000028226"	"Mmp16"	"Mmp16"	"ENSMUSG00000028226"	4489	TRUE
